ID ТУРУ,НАЗВА ТУРУ,ДЖЕРЕЛО,ТУРОПЕРАТОР,ОСНОВНИЙ НАПРЯМОК,СЕРЕДНЯ ЦІНА,СЕРЕДНЯ ЦІНА ПО НАПРЯМКУ,МЕДІАННА ЦІНА ПО НАПРЯМКУ,ВІДХИЛЕННЯ ВІД СЕРЕДНЬОЇ ЦІНИ,ВІДХИЛЕННЯ ВІД МЕДІАННОЇ ЦІНИ,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ПОЗИЦІЯ ЗА ЦІНОЮ В НАПРЯМКУ,РІЗНИЦЯ ДО МІНІМАЛЬНОЇ ЦІНИ,ЗАГАЛЬНИЙ VALUE SCORE,СЕРЕДНІЙ VALUE SCORE ПО РИНКУ,ВІДХИЛЕННЯ VALUE ВІД РИНКУ,ПОЗИЦІОНУВАННЯ,КІЛЬКІСТЬ ТУРІВ В НАПРЯМКУ,КІЛЬКІСТЬ ТУРІВ EUROTRIPS,КІЛЬКІСТЬ КОНКУРЕНТНИХ ТУРІВ,ЧАСТКА EUROTRIPS,ЧАСТКА КОНКУРЕНТІВ
ACC-75,"Соковитий вікенд: Верона, Рим, Венеція!",COMPETITOR,Accord tour,Італія,252,340,338,-88,-86,"-25,39%",34,113,"0,64","0,63",0%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ACC-76,Під прапором Греції... Салоніки + Метеори + Афіни + Дельфи,COMPETITOR,Accord tour,Греція,481,420,407,61,75,"18,33%",19,276,"0,68","0,54",14%,ДОРОГИЙ,28,2,26,"0,07","0,93"
ACC-77,Любовне зізнання: Відень + Прага!,COMPETITOR,Accord tour,Австрія,245,210,199,35,46,"23,12%",29,150,"0,69","0,63",5%,ДОРОГИЙ,39,3,36,"0,08","0,92"
ACC-78,"Мелодії Альп... Швейцарія, Баварія, Австрія +Майнау –острів весняних мрій...",COMPETITOR,Accord tour,Швейцарія,270,333,334,-64,-64,"-19,19%",8,82,"0,77","0,74",3%,ДЕШЕВИЙ,29,1,28,"0,03","0,97"
ACC-79,"Чао, Італія! 2 дні в Римі + Флоренція і Венеція!",COMPETITOR,Accord tour,Італія,408,340,338,68,70,"20,80%",81,269,"0,74","0,63",11%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-80,Секрет вічності… Рим + Флоренція і Венеція,COMPETITOR,Accord tour,Італія,337,340,338,-3,-1,"-0,37%",53,198,"0,71","0,63",8%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-81,"Таємнича Греція:  Салоніки, Афіни, Метеори",COMPETITOR,Accord tour,Греція,339,420,407,-81,-68,"-16,61%",10,134,"0,61","0,54",7%,ДЕШЕВИЙ,28,2,26,"0,07","0,93"
ACC-82,"Скажемо «чііііз» в Італії: 3 дні в Римі + Неаполь, Флоренція і Венеція",COMPETITOR,Accord tour,Італія,443,340,338,103,105,"31,01%",84,304,"0,66","0,63",3%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-83,"Завжди на висоті... Італія! Флоренція, Рим, Венеція + Доломітові Альпи",COMPETITOR,Accord tour,Італія,441,340,338,101,103,"30,57%",83,302,"0,69","0,63",6%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-84,Грація Північної Італії,COMPETITOR,Accord tour,Італія,498,340,338,158,160,"47,45%",95,359,"0,63","0,63",0%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-85,Пригоди невгамовних або ще більше Італії + Сан-Марино,COMPETITOR,Accord tour,Італія,554,340,338,214,216,"64,03%",100,415,"0,57","0,63",-6%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-86,Найкращі хвилини в Італії!,COMPETITOR,Accord tour,Італія,307,340,338,-33,-31,"-9,10%",45,168,"0,83","0,63",20%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-87,"Стильна Італія... Трієст, Мілан, озеро Комо, Верона!",COMPETITOR,Accord tour,Італія,394,340,338,54,56,"16,51%",76,255,"0,73","0,63",10%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-88,"Вікенд на трьох! Краків, Відень, Будапешт",COMPETITOR,Accord tour,Австрія,168,210,199,-42,-31,"-15,58%",14,73,"0,76","0,63",12%,ДЕШЕВИЙ,39,3,36,"0,08","0,92"
ACC-89,"Мелодії Альп...  Швейцарія, Баварія, Австрія...",COMPETITOR,Accord tour,Швейцарія,270,333,334,-64,-64,"-19,19%",8,82,"0,77","0,74",3%,ДЕШЕВИЙ,29,1,28,"0,03","0,97"
ACC-90,Італійська пригода: 2 дні в Римі + Адріатичне узбережжя,COMPETITOR,Accord tour,Італія,359,340,338,19,21,"6,29%",67,220,"0,75","0,63",12%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-91,https://www.accordtour.com/tours/660106/tab/tab_price/tour_date/2026-04-29/cls_number_adult_cnt/%7B1:1%7D/cls_number_child_age/%7B%7D/tour_include_ins/true,COMPETITOR,Accord tour,Італія,172,340,338,-168,-166,"-49,07%",8,33,"0,77","0,63",14%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ACC-92,Ритми моди:Париж+Мілан,COMPETITOR,Accord tour,Італія,487,340,338,147,149,"44,19%",93,348,"0,62","0,63",-1%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-93,Фіорди Півночі!!!,COMPETITOR,Accord tour,Норвегія,568,527,538,41,30,"5,58%",7,183,"0,73","0,69",4%,РИНКОВА ЦІНА,9,1,8,"0,11","0,89"
ACC-94,Вихідні в Ельзасі + Швейцарія,COMPETITOR,Accord tour,Швейцарія,278,333,334,-55,-56,"-16,64%",10,90,"0,74","0,74",0%,ДЕШЕВИЙ,29,1,28,"0,03","0,97"
ACC-95,"Мікс щасливих емоцій  Ніцца, Монако, Портофіно",COMPETITOR,Accord tour,Італія,205,340,338,-135,-133,"-39,30%",14,66,"0,66","0,63",3%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ACC-96,Три щасливі дні  Прага + Дрезден,COMPETITOR,Accord tour,Чехія,192,204,199,-13,-8,"-3,77%",9,97,"0,79","0,68",11%,РИНКОВА ЦІНА,22,3,19,"0,14","0,86"
ACC-97,Французький поцілунок!!!,COMPETITOR,Accord tour,Франція,245,366,352,-121,-107,"-30,40%",7,48,"0,66","0,70",-4%,ДЕШЕВИЙ,71,3,68,"0,04","0,96"
ACC-98,Вікенд з видом на море: Венеція + відпочинок на Адріатичному морі Італії,COMPETITOR,Accord tour,Італія,161,340,338,-179,-177,"-52,33%",6,22,"0,48","0,63",-15%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ACC-99,В хорошому настрої:  Салоніки + Метеори + відпочинок на Егейському морі,COMPETITOR,Accord tour,Греція,235,420,407,-185,-172,"-42,31%",3,30,"0,50","0,54",-5%,ДЕШЕВИЙ,28,2,26,"0,07","0,93"
ACC-100,Натхненний вікенд в Трансільванії...,COMPETITOR,Accord tour,Румунія,170,167,160,2,10,"5,94%",15,71,"0,86","0,68",18%,РИНКОВА ЦІНА,21,3,18,"0,14","0,86"
ACC-101,Вище неба: відпочинок у Доломітових Альпах Італії,COMPETITOR,Accord tour,Італія,382,340,338,42,44,"13,10%",73,243,"0,65","0,63",2%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-102,"Лазурові пригоди  Ніцца, Монако, Канни, Прованс",COMPETITOR,Accord tour,Франція,327,366,352,-39,-25,"-7,10%",25,130,"0,74","0,70",4%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ACC-103,"Олімпійський привіт: Салоніки, Афіни, Метеори",COMPETITOR,Accord tour,Греція,318,420,407,-102,-89,"-21,89%",7,113,"0,59","0,54",5%,ДЕШЕВИЙ,28,2,26,"0,07","0,93"
ACC-104,"Там, де Північ зустрічається з Півднем… Амстердам+Мілан+Венеція!",COMPETITOR,Accord tour,Нідерланди,341,349,348,-8,-7,"-2,01%",15,146,"0,73","0,70",3%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ACC-105,"Лазурова відпустка  Ніцца, Канни, Монако, Сан Ремо, Портофіно",COMPETITOR,Accord tour,Італія,478,340,338,138,140,"41,52%",91,339,"0,64","0,63",1%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-106,Яскраві враження.... Амстердам та Париж...,COMPETITOR,Accord tour,Франція,397,366,352,30,45,"12,64%",45,199,"0,73","0,70",2%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ACC-107,"Рим притягує нас!  Відень, Флоренція та Венеція",COMPETITOR,Accord tour,Італія,302,340,338,-38,-36,"-10,58%",44,163,"0,79","0,63",16%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-108,"Швейцарська казка  Цюріх, Берн, Женева + Монблан",COMPETITOR,Accord tour,Швейцарія,334,333,334,0,0,"0,00%",15,146,"0,85","0,74",11%,РИНКОВА ЦІНА,29,1,28,"0,03","0,97"
ACC-109,"Швейцарська інтрига  Австрія, Італія та Доломітові Альпи",COMPETITOR,Accord tour,Швейцарія,341,333,334,7,7,"2,10%",16,153,"0,84","0,74",10%,РИНКОВА ЦІНА,29,1,28,"0,03","0,97"
ACC-110,"Віденський експрес!  Краків, Відень, Будапешт",COMPETITOR,Accord tour,Австрія,111,210,199,-99,-89,"-44,47%",4,16,"0,64","0,63",0%,ДЕШЕВИЙ,39,3,36,"0,08","0,92"
ACC-111,Вічна класика: Салоніки + Афіни + Метеори,COMPETITOR,Accord tour,Греція,297,420,407,-123,-110,"-27,06%",5,92,"0,58","0,54",4%,ДЕШЕВИЙ,28,2,26,"0,07","0,93"
ACC-112,Перше побачення в Греції:  Салоніки + Олімп + Метеори + Грецькі Альпи,COMPETITOR,Accord tour,Греція,205,420,407,-215,-202,"-49,57%",1,0,"0,48","0,54",-6%,ДЕШЕВИЙ,28,2,26,"0,07","0,93"
ACC-113,Наш красивий вікенд!,COMPETITOR,Accord tour,Угорщина,229,162,159,66,69,"43,49%",11,140,"0,69","0,63",6%,ДОРОГИЙ,12,2,10,"0,17","0,83"
ACC-114,Іспанія – горда квітка Півдня  Відпочинок на морі,COMPETITOR,Accord tour,Іспанія,407,538,505,-131,-98,"-19,33%",6,65,"0,71","0,64",8%,ДЕШЕВИЙ,22,2,20,"0,09","0,91"
ACC-115,Літня відпустка під іспанськими вітрилами  Відпочинок на морі,COMPETITOR,Accord tour,Іспанія,575,538,505,36,70,"13,88%",14,233,"0,75","0,64",11%,РИНКОВА ЦІНА,22,2,20,"0,09","0,91"
ACC-116,"Сонячна відпустка:  Трієст, Мілан, Генуя і Венеція",COMPETITOR,Accord tour,Італія,354,340,338,14,16,"4,66%",61,215,"0,83","0,63",20%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-117,Випускний в Італії: 2 дні в Римі + відпочинок на морі,COMPETITOR,Accord tour,Італія,359,340,338,19,21,"6,14%",65,220,"0,75","0,63",12%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-118,"Париж в моді, при любій погоді!",COMPETITOR,Accord tour,Франція,350,366,352,-16,-2,"-0,57%",32,153,"0,73","0,70",3%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ACC-119,"Мрії в подарунок…  Егер, Відень і Будапешт!",COMPETITOR,Accord tour,Угорщина,170,162,159,7,10,"6,44%",7,81,"0,84","0,63",21%,РИНКОВА ЦІНА,12,2,10,"0,17","0,83"
ACC-120,Естетика півдня: Амальфітанське узбережжя + Рим,COMPETITOR,Accord tour,Італія,530,340,338,190,192,"56,92%",96,391,"0,59","0,63",-5%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-121,"Love is...Венеція і Париж! + Діснейленд, Верона та Мілан...",COMPETITOR,Accord tour,Італія,339,340,338,-1,1,"0,37%",54,200,"0,76","0,63",13%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-122,Must seе - Amsterdam або 2 дні в Амстердамі!,COMPETITOR,Accord tour,Нідерланди,275,349,348,-74,-73,"-20,86%",7,80,"0,64","0,70",-6%,ДЕШЕВИЙ,32,1,31,"0,03","0,97"
ACC-123,Мій маленький рай - Чорногорія!,COMPETITOR,Accord tour,Чорногорія,339,364,369,-25,-30,"-8,13%",4,88,"0,63","0,63",0%,РИНКОВА ЦІНА,13,1,12,"0,08","0,92"
ACC-124,Балканська красуня - Чорногорія!  Відпочинок на Адріатичному узбережжі...,COMPETITOR,Accord tour,Чорногорія,369,364,369,5,0,"0,00%",7,118,"0,76","0,63",13%,РИНКОВА ЦІНА,13,1,12,"0,08","0,92"
ACC-125,Швейцарське фондю: вся Швейцарія і Австрія!!!,COMPETITOR,Accord tour,Швейцарія,511,333,334,177,177,"53,07%",29,323,"0,66","0,74",-8%,ДОРОГИЙ,29,1,28,"0,03","0,97"
ACC-126,У ритмі літа... Відпочинок на Адріатичному морі Італії,COMPETITOR,Accord tour,Італія,359,340,338,19,21,"6,14%",65,220,"0,60","0,63",-3%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-127,Моя морська насолода!  Відпочинок на Адріатичному морі Італії!,COMPETITOR,Accord tour,Італія,464,340,338,124,126,"37,23%",89,325,"0,58","0,63",-5%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-128,Куточок морського раю… відпочинок на Лігурійському узбережжі Італії,COMPETITOR,Accord tour,Італія,563,340,338,223,225,"66,54%",101,424,"0,45","0,63",-18%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-129,Відпустка на морі: відпочинок на Адріатичному узбережжя Італії,COMPETITOR,Accord tour,Італія,533,340,338,193,195,"57,66%",97,394,"0,50","0,63",-13%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-130,Я і море - це amore: 3 ночі на узбережжі Адріатичного моря Італії,COMPETITOR,Accord tour,Італія,276,340,338,-64,-62,"-18,43%",36,137,"0,55","0,63",-8%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ACC-131,"Скандинавський бум: Стокгольм, Осло, Копенгаген!  3 столиці Скандинавії!",COMPETITOR,Accord tour,Данія,519,519,519,0,0,"0,00%",1,0,"0,79","0,79",0%,РИНКОВА ЦІНА,1,0,1,"0,00","1,00"
ACC-132,Підкоренні красою… Скандинавія і Фйорди!,COMPETITOR,Accord tour,Норвегія,713,527,538,186,175,"32,53%",9,328,"0,60","0,69",-9%,ДОРОГИЙ,9,1,8,"0,11","0,89"
ACC-133,Цікаві вихідні в Трансільванії,COMPETITOR,Accord tour,Румунія,176,167,160,9,16,"10,00%",16,77,"0,84","0,68",16%,РИНКОВА ЦІНА,21,3,18,"0,14","0,86"
ACC-134,Серце Адріатики... Чорногорія + Хорватія,COMPETITOR,Accord tour,Чорногорія,360,364,369,-5,-10,"-2,57%",6,109,"0,75","0,63",13%,РИНКОВА ЦІНА,13,1,12,"0,08","0,92"
ACC-135,Морський бриз Чорногорії,COMPETITOR,Accord tour,Чорногорія,251,364,369,-113,-118,"-31,98%",1,0,"0,55","0,63",-7%,ДЕШЕВИЙ,13,1,12,"0,08","0,92"
ACC-136,Палкий тиждень в Іспанії,COMPETITOR,Accord tour,Іспанія,489,538,505,-49,-16,"-3,07%",11,147,"0,71","0,64",7%,РИНКОВА ЦІНА,22,2,20,"0,09","0,91"
ACC-137,Незнайомка з Півдня... Італія,COMPETITOR,Accord tour,Італія,606,340,338,266,268,"79,42%",105,467,"0,48","0,63",-15%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-138,"Казки Балтійського моря  Стокгольм, Рига, Таллінн",COMPETITOR,Accord tour,Естонія,282,312,312,-30,-30,"-9,70%",1,0,"0,73","0,72",1%,РИНКОВА ЦІНА,2,0,2,"0,00","1,00"
ACC-139,Спокій Адріатики  Відпочинок на морі в Чорногорії,COMPETITOR,Accord tour,Чорногорія,289,364,369,-76,-81,"-21,82%",3,38,"0,59","0,63",-3%,ДЕШЕВИЙ,13,1,12,"0,08","0,92"
ACC-140,Курортний Роман  Відпочинок на морі Іспанії  Швейцарія + Іспанія + Франція,COMPETITOR,Accord tour,Іспанія,759,538,505,221,255,"50,45%",20,417,"0,60","0,64",-3%,ДОРОГИЙ,22,2,20,"0,09","0,91"
ACC-141,Серенада південного сонця  Іспанія + Швейцарія   Відпочинок на морі,COMPETITOR,Accord tour,Іспанія,854,538,505,315,349,"69,18%",22,512,"0,53","0,64",-11%,ДОРОГИЙ,22,2,20,"0,09","0,91"
ACC-142,"«Релакс» по-італійськи: Амальфітанське узбережжя + Рим, Флоренція і Венеція!",COMPETITOR,Accord tour,Італія,574,340,338,234,236,"69,80%",102,435,"0,48","0,63",-15%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ACC-143,Вікенд у Будапешт! + Відень!,COMPETITOR,Accord tour,Угорщина,89,162,159,-73,-70,"-44,11%",1,0,"0,50","0,63",-13%,ДЕШЕВИЙ,12,2,10,"0,17","0,83"
ACC-144,"Жага пригод  Амстердам, Париж + Діснейленд",COMPETITOR,Accord tour,Нідерланди,311,349,348,-38,-37,"-10,50%",11,116,"0,73","0,70",3%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ACC-145,Мої зимові пригоди в Італії: відпочинок в Доломітових Альпах,COMPETITOR,Accord tour,Італія,375,340,338,35,37,"11,03%",71,236,"0,68","0,63",4%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ACC-146,Східний хіт - Істанбул!,COMPETITOR,Accord tour,Молдова,262,207,207,55,55,"26,57%",2,110,"0,54","0,63",-9%,ДОРОГИЙ,2,0,2,"0,00","1,00"
ACC-147,Шалене серце або дорога до улюблених місць...,COMPETITOR,Accord tour,Болгарія,346,387,387,-42,-42,"-10,78%",1,0,"0,77","0,70",7%,РИНКОВА ЦІНА,2,0,2,"0,00","1,00"
ACC-148,Захоплюючий вікенд… + Трансфегераш,COMPETITOR,Accord tour,Румунія,178,167,160,11,18,"11,25%",17,79,"0,83","0,68",15%,РИНКОВА ЦІНА,21,3,18,"0,14","0,86"
ACC-149,Побачення з вампіром!!! Бухарест+Брашов,COMPETITOR,Accord tour,Румунія,134,167,160,-34,-27,"-16,56%",5,35,"0,69","0,68",1%,ДЕШЕВИЙ,21,3,18,"0,14","0,86"
ACC-150,"Там, де сонце торкається гірських вершин…",COMPETITOR,Accord tour,Румунія,267,167,160,100,107,"66,88%",20,168,"0,50","0,68",-18%,ДОРОГИЙ,21,3,18,"0,14","0,86"
ACC-151,Вікенд з родзинкою… Замок Корвінів + Турда!,COMPETITOR,Accord tour,Румунія,164,167,160,-4,4,"2,19%",13,65,"0,81","0,68",13%,РИНКОВА ЦІНА,21,3,18,"0,14","0,86"
ACC-152,У компанії з морем: Відпочинок на Егейському узбережжі,COMPETITOR,Accord tour,Греція,252,420,407,-168,-155,"-38,13%",4,47,"0,48","0,54",-6%,ДЕШЕВИЙ,28,2,26,"0,07","0,93"
ACC-153,"Посмішка Кармен! Любляна, Мілан, Барселона, Ніцца та Венеція!",COMPETITOR,Accord tour,Іспанія,444,538,505,-95,-61,"-12,09%",8,102,"0,73","0,64",10%,РИНКОВА ЦІНА,22,2,20,"0,09","0,91"
ACC-154,Моя гірська симфонія...,COMPETITOR,Accord tour,Греція,302,420,407,-118,-105,"-25,71%",6,97,"0,73","0,54",19%,ДЕШЕВИЙ,28,2,26,"0,07","0,93"
ACC-155,"Таємничий вікенд... Невермор, Дракула, Бухарест...",COMPETITOR,Accord tour,Румунія,242,167,160,74,82,"50,94%",19,143,"0,57","0,68",-11%,ДОРОГИЙ,21,3,18,"0,14","0,86"
ACC-156,Солодкі дотики моря... Греція! Відпочинок на Егейському морі!,COMPETITOR,Accord tour,Греція,419,420,407,-1,13,"3,08%",15,214,"0,62","0,54",8%,РИНКОВА ЦІНА,28,2,26,"0,07","0,93"
ACC-157,Сонячна розкіш Чорногорія + Хорватія Відпочинок на морі в Чорногорії,COMPETITOR,Accord tour,Чорногорія,423,364,369,59,54,"14,63%",11,172,"0,70","0,63",7%,РИНКОВА ЦІНА,13,1,12,"0,08","0,92"
ACC-158,Приємний вікенд  Прага + Дрезден,COMPETITOR,Accord tour,Чехія,122,204,199,-82,-77,"-38,69%",2,27,"0,60","0,68",-7%,ДЕШЕВИЙ,22,3,19,"0,14","0,86"
ACC-159,Празьке дежавю  Прага та Відень,COMPETITOR,Accord tour,Чехія,134,204,199,-70,-65,"-32,66%",4,39,"0,67","0,68",-1%,ДЕШЕВИЙ,22,3,19,"0,14","0,86"
ACC-160,Неймовірні пригоди у Санта-Клауса,COMPETITOR,Accord tour,Фінляндія,538,603,603,-65,-65,"-10,79%",1,0,"0,72","0,69",3%,РИНКОВА ЦІНА,2,0,2,"0,00","1,00"
ACC-161,Полювання на вампірів,COMPETITOR,Accord tour,Румунія,145,167,160,-22,-15,"-9,38%",7,46,"0,71","0,68",3%,РИНКОВА ЦІНА,21,3,18,"0,14","0,86"
ACC-162,Подорож в Трансільванію…,COMPETITOR,Accord tour,Румунія,267,167,160,100,107,"66,88%",20,168,"0,54","0,68",-14%,ДОРОГИЙ,21,3,18,"0,14","0,86"
ACC-163,Ароматний вікенд…,COMPETITOR,Accord tour,Молдова,152,207,207,-55,-55,"-26,57%",1,0,"0,72","0,63",9%,ДЕШЕВИЙ,2,0,2,"0,00","1,00"
ACC-164,Перше кохання... Прага,COMPETITOR,Accord tour,Чехія,337,204,199,133,138,"69,35%",21,242,"0,57","0,68",-11%,ДОРОГИЙ,22,3,19,"0,14","0,86"
ACC-165,Пікнічок в Амстердамі,COMPETITOR,Accord tour,Нідерланди,223,349,348,-126,-125,"-35,83%",4,28,"0,60","0,70",-10%,ДЕШЕВИЙ,32,1,31,"0,03","0,97"
ACC-166,Побачення в Парижі! + Мюнхен!,COMPETITOR,Accord tour,Франція,436,366,352,70,84,"23,86%",53,239,"0,75","0,70",5%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ACC-167,Вікенд в Бухаресті...,COMPETITOR,Accord tour,Румунія,131,167,160,-37,-30,"-18,44%",4,32,"0,66","0,68",-2%,ДЕШЕВИЙ,21,3,18,"0,14","0,86"
ACC-168,Максимум насолоди або моя бажана відпустка!!!,COMPETITOR,Accord tour,Албанія,523,514,523,9,0,"0,00%",5,208,"0,68","0,64",4%,РИНКОВА ЦІНА,9,0,9,"0,00","1,00"
ACC-169,Мій літній романс або який солодкий шум прибою... Албанія,COMPETITOR,Accord tour,Албанія,459,514,523,-55,-64,"-12,15%",3,144,"0,62","0,64",-2%,РИНКОВА ЦІНА,9,0,9,"0,00","1,00"
ACC-170,"Канікули в Парижі +Страсбург  Діснейленд, Астерікс, Європа Парк",COMPETITOR,Accord tour,Франція,382,366,352,15,30,"8,38%",39,184,"0,83","0,70",13%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ACC-171,Вікенд в Будапешт! + Хевіз!,COMPETITOR,Accord tour,Угорщина,102,162,159,-60,-57,"-35,95%",2,13,"0,67","0,63",4%,ДЕШЕВИЙ,12,2,10,"0,17","0,83"
ACC-172,"Схід, солодка любов моя... Туреччина + Греція",COMPETITOR,Accord tour,Греція,364,420,407,-56,-43,"-10,46%",12,159,"0,79","0,54",25%,РИНКОВА ЦІНА,28,2,26,"0,07","0,93"
ACC-173,Музика прибою: Відпочинок на Егейському морі Греції!,COMPETITOR,Accord tour,Греція,321,420,407,-99,-86,"-21,16%",8,116,"0,55","0,54",1%,ДЕШЕВИЙ,28,2,26,"0,07","0,93"
ACC-174,Сієста у греків:  відпочинок на Егейському морі і Охридському озері,COMPETITOR,Accord tour,Греція,492,420,407,72,85,"20,91%",20,287,"0,66","0,54",12%,ДОРОГИЙ,28,2,26,"0,07","0,93"
ACC-175,"Всі фарби Балкан  Албанія, Північна Македонія, Болгарія",COMPETITOR,Accord tour,Албанія,489,514,523,-25,-34,"-6,51%",4,174,"0,77","0,64",13%,РИНКОВА ЦІНА,9,0,9,"0,00","1,00"
ACC-176,Неймовірне знайомство... Македонія + Албанія,COMPETITOR,Accord tour,Албанія,534,514,523,20,11,"2,11%",6,219,"0,73","0,64",9%,РИНКОВА ЦІНА,9,0,9,"0,00","1,00"
ACC-177,Мій літній коктейль…  Тур з відпочинком на морі в Албанії…,COMPETITOR,Accord tour,Албанія,680,514,523,166,158,"30,14%",9,365,"0,63","0,64",-1%,ДОРОГИЙ,9,0,9,"0,00","1,00"
ACC-178,Аромат зі східними нотами...,COMPETITOR,Accord tour,Албанія,430,514,523,-84,-93,"-17,80%",2,115,"0,74","0,64",10%,ДЕШЕВИЙ,9,0,9,"0,00","1,00"
ACC-179,Лапландія і Томтеленд - У світі Санта Клауса!,COMPETITOR,Accord tour,Фінляндія,668,603,603,65,65,"10,79%",2,130,"0,66","0,69",-3%,РИНКОВА ЦІНА,2,0,2,"0,00","1,00"
ACC-180,Полуниця з Портвейном... Португалія,COMPETITOR,Accord tour,Португалія,814,744,814,70,0,"0,00%",2,269,"0,82","0,74",9%,РИНКОВА ЦІНА,3,0,3,"0,00","1,00"
ACC-181,Амстердам - ковток свободи,COMPETITOR,Accord tour,Нідерланди,366,349,348,17,19,"5,32%",20,171,"0,79","0,70",9%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ACC-182,"Веселий ярмарок...  Різдвяна Німеччина та Франція.  Дрезден, Нюрнберг, Страсбург, Кольмар, Прага",COMPETITOR,Accord tour,Німеччина,269,238,237,30,31,"13,17%",12,150,"0,80","0,70",10%,РИНКОВА ЦІНА,18,0,18,"0,00","1,00"
ACC-183,Без меж - Будапешт!  Виїзд  з Києва,COMPETITOR,Accord tour,Угорщина,194,162,159,32,35,"21,82%",9,105,"0,67","0,63",4%,ДОРОГИЙ,12,2,10,"0,17","0,83"
ADR-1,Чеські перлини: 4 ночі в Празі + Дрезден  ,COMPETITOR,Adriatic,Чехія,248,204,199,43,49,"24,37%",19,153,"0,64","0,68",-4%,ДОРОГИЙ,22,3,19,"0,14","0,86"
ADR-2,"Рим прекрасний завжди...: 2 дні в Римі + Венеція, Флоренція  ",COMPETITOR,Adriatic,Італія,294,340,338,-46,-44,"-12,95%",41,155,"0,67","0,63",4%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ADR-3,Європейська мозаїка: Краків-Прага-Відень-Будапешт ,COMPETITOR,Adriatic,Австрія,199,210,199,-11,0,"0,00%",20,104,"0,80","0,63",16%,РИНКОВА ЦІНА,39,3,36,"0,08","0,92"
ADR-4,Неймовірна Швейцарія та Ельзас!  ,COMPETITOR,Adriatic,Швейцарія,284,333,334,-50,-50,"-14,99%",11,96,"0,78","0,74",4%,РИНКОВА ЦІНА,29,1,28,"0,03","0,97"
ADR-5,"Італійський вікенд... Венеція, Флоренція, Рим  ",COMPETITOR,Adriatic,Італія,252,340,338,-88,-86,"-25,39%",34,113,"0,64","0,63",0%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ADR-6,Париж - місто кохання ,COMPETITOR,Adriatic,Франція,251,366,352,-116,-102,"-28,84%",9,53,"0,65","0,70",-5%,ДЕШЕВИЙ,71,3,68,"0,04","0,96"
ADR-7,«Австрійський хіт + Будапешт» ,COMPETITOR,Adriatic,Австрія,144,210,199,-66,-55,"-27,64%",8,49,"0,64","0,63",0%,ДЕШЕВИЙ,39,3,36,"0,08","0,92"
ADR-8,"Богемські вихідні: 3 ночі в Празі + Дрезден, Карлові Вари, Чеський Крумлов  ",COMPETITOR,Adriatic,Чехія,219,204,199,15,20,"10,05%",14,124,"0,75","0,68",7%,РИНКОВА ЦІНА,22,3,19,"0,14","0,86"
ADR-9,Мікс вікенд: Будапешт + Відень  ,COMPETITOR,Adriatic,Австрія,106,210,199,-104,-93,"-46,73%",2,11,"0,53","0,63",-11%,ДЕШЕВИЙ,39,3,36,"0,08","0,92"
