ID ТУРУ,НАЗВА ТУРУ,ДЖЕРЕЛО,ТУРОПЕРАТОР,ОСНОВНИЙ НАПРЯМОК,ВСІ НАПРЯМКИ,ТИП ПОДОРОЖІ,ЦІНОВА КАТЕГОРІЯ,СЕРЕДНЯ ЦІНА,ДНІ,НІЧНІ ПЕРЕЇЗДИ,ЕКСКУРСІЇ,НОЧЕЙ В ГОТЕЛЯХ,СІЧЕНЬ,ЛЮТИЙ,БЕРЕЗЕНЬ,КВІТЕНЬ,ТРАВЕНЬ,ЧЕРВЕНЬ,ЛИПЕНЬ,СЕРПЕНЬ,ВЕРЕСЕНЬ,ЖОВТЕНЬ,ЛИСТОПАД,ГРУДЕНЬ,ВИЇЗДІВ НА РІК,АКТИВНИХ МІСЯЦІВ,ПІКОВІ МІСЯЦІ,ПІКОВИЙ МІСЯЦЬ,ТИП СЕЗОННОСТІ,СЕЗОННІСТЬ,БЕЗ НІЧНИХ ПЕРЕЇЗДІВ,КІЛЬКІСТЬ ЗУПИНОК ПО СИГНАТУРІ МАРШРУТУ,КІЛЬКІСТЬ КРАЇН У МАРШРУТІ,КІЛЬКІСТЬ МІСТ У МАРШРУТІ,КІЛЬКІСТЬ ІНШИХ ТОЧОК,УНІКАЛЬНІ ЗУПИНКИ,УНІКАЛЬНІ МІСТА,УНІКАЛЬНІ КРАЇНИ,СКЛАДНІСТЬ МАРШРУТУ,ЩІЛЬНІСТЬ МІСТ,ЩІЛЬНІСТЬ КРАЇН,ЧАСТКА ІНШИХ ТОЧОК
ACC-158,Приємний вікенд  Прага + Дрезден,COMPETITOR,Accord tour,Чехія,Чехія,екскурсійний,Економ 99 - 150,122,4,2,2,1,0,0,0,2,4,3,3,4,3,7,2,4,32,9,"ЖОВТЕНЬ, ТРАВЕНЬ, СЕРПЕНЬ",ЖОВТЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,FALSE,9,3,8,0,1,1,1,"0,1","0,25","0,25",0
ACC-159,Празьке дежавю  Прага та Відень,COMPETITOR,Accord tour,Чехія,Чехія,екскурсійний,Економ 99 - 150,134,4,2,3,1,0,0,0,4,8,7,8,9,6,8,,,50,7,"СЕРПЕНЬ, ТРАВЕНЬ, ЛИПЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,FALSE,4,4,4,0,1,1,1,"0,1","0,25","0,25",0
ACC-160,Неймовірні пригоди у Санта-Клауса,COMPETITOR,Accord tour,Фінляндія,Фінляндія,екскурсійний,Тяжкий Люкс 400 +,"537,5",8,0,4,7,0,0,0,,,,,,,,,3,3,1,ГРУДЕНЬ,ГРУДЕНЬ,СЕЗОННИЙ,❄️ ЗИМА,TRUE,5,4,4,0,1,1,1,"0,1","0,13","0,13",0
ACC-161,Полювання на вампірів,COMPETITOR,Accord tour,Румунія,Румунія,екскурсійний,Економ 99 - 150,145,4,2,2,1,0,0,0,1,4,3,3,4,4,5,4,4,32,9,"ЖОВТЕНЬ, ТРАВЕНЬ, СЕРПЕНЬ",ЖОВТЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,FALSE,10,1,3,0,1,1,1,"0,1","0,25","0,25",0
ACC-162,Подорож в Трансільванію…,COMPETITOR,Accord tour,Румунія,Румунія,екскурсійний,Стандарт 150 - 300,267,5,0,3,4,0,0,0,1,2,3,1,2,2,2,1,3,17,9,"ЧЕРВЕНЬ, ГРУДЕНЬ, ТРАВЕНЬ",ЧЕРВЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,TRUE,12,1,3,0,1,1,1,"0,1","0,20","0,20",0
ACC-163,Ароматний вікенд…,COMPETITOR,Accord tour,Молдова,Молдова,екскурсійний,Економ 99 - 150,152,3,0,2,2,0,0,0,1,2,3,2,4,3,3,3,2,23,9,"СЕРПЕНЬ, ЧЕРВЕНЬ, ВЕРЕСЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,TRUE,3,0,0,0,1,1,1,"0,1","0,33","0,33",0
ACC-164,Перше кохання... Прага,COMPETITOR,Accord tour,Чехія,Чехія,екскурсійний,Стандарт 150 - 300,337,7,0,5,6,0,0,0,2,2,4,3,5,2,2,,,20,7,"СЕРПЕНЬ, ЧЕРВЕНЬ, ЛИПЕНЬ",СЕРПЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,TRUE,8,3,6,0,1,1,1,"0,1","0,14","0,14",0
ACC-165,Пікнічок в Амстердамі,COMPETITOR,Accord tour,Нідерланди,Нідерланди,екскурсійний,Стандарт 150 - 300,223,6,2,3,3,0,0,0,3,5,3,4,4,3,6,,,28,7,"ЖОВТЕНЬ, ТРАВЕНЬ, ЛИПЕНЬ",ЖОВТЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,FALSE,12,4,10,0,1,1,1,"0,1","0,17","0,17",0
ACC-166,Побачення в Парижі! + Мюнхен!,COMPETITOR,Accord tour,Франція,Франція,екскурсійний,Люкс 300 - 400,436,7,0,6,6,0,0,0,1,3,4,3,3,2,3,,3,22,8,"ЧЕРВЕНЬ, ТРАВЕНЬ, ЛИПЕНЬ",ЧЕРВЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,TRUE,7,4,4,2,1,1,1,"0,1","0,14","0,14","0,2857142857"
ACC-167,Вікенд в Бухаресті...,COMPETITOR,Accord tour,Румунія,Румунія,екскурсійний,Економ 99 - 150,"130,5",3,1,1,1,0,0,0,1,3,1,3,3,4,3,3,4,25,9,"ВЕРЕСЕНЬ, ГРУДЕНЬ, ТРАВЕНЬ",ВЕРЕСЕНЬ,ЦІЛИЙ РІК,🌸 МІЖСЕЗОН,FALSE,1,1,1,0,1,1,1,"0,1","0,33","0,33",0
ACC-168,Максимум насолоди або моя бажана відпустка!!!,COMPETITOR,Accord tour,Албанія,Албанія,морський,Люкс 300 - 400,"522,5",13,2,3,10,0,0,0,,1,2,2,2,3,2,,,12,6,"ВЕРЕСЕНЬ, ЧЕРВЕНЬ, ЛИПЕНЬ",ВЕРЕСЕНЬ,ЦІЛИЙ РІК,☀️ ЛІТО,FALSE,4,1,1,0,1,1,1,"0,1","0,08","0,08",0
ACC-169,Мій літній романс або який солодкий шум прибою... Албанія,COMPETITOR,Accord tour,Албанія,Албанія,морський,Люкс 300 - 400,459,11,2,2,8,0,0,0,,1,2,3,2,2,2,,,12,6,"ЛИПЕНЬ, ЧЕРВЕНЬ, СЕРПЕНЬ",ЛИПЕНЬ,ЦІЛИЙ РІК,☀️ ЛІТО,FALSE,5,2,2,0,1,1,1,"0,1","0,09","0,09",0
