ID ТУРУ,НАЗВА ТУРУ,ОСНОВНИЙ НАПРЯМОК,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ЗАГАЛЬНИЙ VALUE SCORE,ДЖЕРЕЛО,VALUE SCORE EUROTRIPS,VALUE SCORE COMPETITORS,,,X_line,Y_line,,X_line,Y_line
ACC-36,Апельсиновий рай  відпочинок на морі Іспанії та Франції + Швейцарія!!!,Іспанія,"-0,09","0,74",COMPETITOR,,"0,74",,,,,,,
ACC-37,Пристрасть по-іспанськи! Відпочинок на морі!,Іспанія,"0,15","0,76",COMPETITOR,,"0,76",,,,,,,
ACC-38,"Романтичний Париж!   Страсбург, Кольмар, Нюрнберг",Франція,"0,09","0,83",COMPETITOR,,"0,83",,,,,,,
ACC-39,"Атмосфера свята  Франція та Швейцарія  Париж, Цюріх, Люцерн",Франція,"-0,03","0,84",COMPETITOR,,"0,84",,,,,,,
ACC-40,"Розкішна подорож  Франція та Швейцарія  Париж, Нормандія, Берн, Цюріх, Люцерн",Швейцарія,"0,17","0,79",COMPETITOR,,"0,79",,,,,,,
ACC-41,Іспанська сієста... Відпочинок на морі!,Іспанія,"0,10","0,69",COMPETITOR,,"0,69",,,,,,,
ACC-42,"Любов і голуби… Париж, Франкфурт, Дрезден і Прага!!!",Франція,"-0,06","0,80",COMPETITOR,,"0,80",,,,,,,
ACC-43,Французький настрій в Парижі та Діснейленді!,Франція,"-0,25","0,70",COMPETITOR,,"0,70",,,,,,,
ACC-44,В Привабливому Парижі + Мюнхен та Діснейленд!!!,Франція,"-0,25","0,66",COMPETITOR,,"0,66",,,,,,,
ACC-45,Казкова Прага + Дрезден,Чехія,"-0,18","0,76",COMPETITOR,,"0,76",,,,,,,
ACC-46,Маленька французька подорож Париж та Діснейленд,Франція,"-0,44","0,61",COMPETITOR,,"0,61",,,,,,,
ACC-47,В повному шоколаді... або 2 дні в Швейцарії!,Швейцарія,"-0,07","0,83",COMPETITOR,,"0,83",,,,,,,
