ID ТУРУ,НАЗВА ТУРУ,КІЛЬКІСТЬ ЗУПИНОК ПО МАРШРУТУ,КІЛЬКІСТЬ МІСТ У МАРШРУТІ,КІЛЬКІСТЬ КРАЇН У МАРШРУТІ,КІЛЬКІСТЬ ІНШИХ ТОЧОК,ДНІ,ІНТЕНСИВНІСТЬ ПОДОРОЖІ,ЩІЛЬНІСТЬ МІСТ,ЩІЛЬНІСТЬ КРАЇН,ЧАСТКА ІНШИХ ТОЧОК,ЦІННІСТЬ МАРШРУТУ,ЕФЕКТИВНІСТЬ МАРШРУТУ,ПЕРЕВАНТАЖЕНИЙ МАРШРУТ,ПОРОЖНІЙ МАРШРУТ
ADR-58,"Венеція - земля кохання і море чар… Портофіно, Мілан, озеро Комо  ",6,6,3,0,6,"1,00","0,00","0,50","0,00","3,30","0,55",0,0
ADR-59,"Світ фантазій: Амстердам, Брюссель, Париж + парки розваг!  ",18,11,6,0,9,"1,22","0,00","0,67","0,00","6,30","0,70",1,0
ADR-60,"Земля фіордів, льодовиків... Норвегія... ",7,5,4,0,7,"0,71","0,00","0,57","0,00","3,50","0,50",0,0
ADR-61,"Італійський вікенд... Венеція, Флоренція, Рим ",3,3,1,0,5,"0,60","0,00","0,20","0,00","1,40","0,28",0,0
ADR-62,Вікенд в Берліні  ,4,3,2,0,4,"0,75","0,00","0,50","0,00","1,90","0,48",0,0
ADR-63,"Польськими містами - Краків, Вроцлав, Варшава + Енерджіландія, Африкаріум і аквапарк ",3,3,1,0,5,"0,60","0,00","0,20","0,00","1,40","0,28",0,0
ADR-64,"Секрети півночі: Стокгольм, Копенгаген та Гамбурґ  ",11,9,6,0,8,"1,13","0,00","0,75","0,00","5,70","0,71",0,0
ADR-65,Європейський експрес - від Кракова до Берліна ,6,6,3,0,5,"1,20","0,00","0,60","0,00","3,30","0,66",0,0
ADR-66,"Три дні релаксу: Будапешт, Егер, Токай + Відень  ",8,4,2,0,3,"1,33","0,00","0,67","0,00","2,20","0,73",1,0
ADR-67,Слідами таємниць і легенд: Вроцлав-Берлін-Дрезден  ,4,4,2,0,4,"1,00","0,00","0,50","0,00","2,20","0,55",0,0
ADR-68,Дрезден та Берлін - Живи і Подорожуй  ,4,3,2,0,4,"0,75","0,00","0,50","0,00","1,90","0,48",0,0
ADR-69,Італійські канікули на трьох морях ,15,7,3,0,7,"1,00","0,00","0,43","0,00","3,60","0,51",1,0
ADR-70,Пригоди в Парижі + Кольмар та Страсбург!  ,12,6,4,0,6,"1,00","0,00","0,67","0,00","3,80","0,63",1,0
ADR-71,Подорож до мрії: Париж та Діснейленд  ,12,7,4,0,6,"1,17","0,00","0,67","0,00","4,10","0,68",1,0
ADR-72,"Тур де Франс: Париж, Мон-Сен-Мішель, Луара та Нормандія! ",20,9,4,0,8,"1,13","0,00","0,50","0,00","4,70","0,59",1,0
ADR-73,"Магія Скандинавії: Фіорди, Язик Троля, Берген, Льодовик!  ",8,6,4,0,7,"0,86","0,00","0,57","0,00","3,80","0,54",0,0
ADR-74,Давай разом в Амстердам  ,11,8,4,0,6,"1,33","0,00","0,67","0,00","4,40","0,73",1,0
ADR-75,Чорногорія - перлина Балканської Адріатики  ,9,6,3,0,12,"0,50","0,00","0,25","0,00","3,30","0,28",0,0
ADR-76,Морські історії в серці Чорногорії  ,9,6,3,0,12,"0,50","0,00","0,25","0,00","3,30","0,28",0,0
ADR-77,Вдала ідея - відпустка в Чорногорії,9,6,3,0,12,"0,50","0,00","0,25","0,00","3,30","0,28",0,0
ADR-78,Знайомство з Норвегією: 4 фіорди + Язик Троля/Берген/Льодовик!» ,8,6,4,0,7,"0,86","0,00","0,57","0,00","3,80","0,54",0,0
